Accident ID,Date,Time,Latitude,Longitude,Location,Weather Condition,Road Condition,Vehicles Involved,Casualties,Turning Radii,Steep Slope Angles,Cause
8c481f44,01-01-2023,2:03:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Hail,Gravel,3,1,14,14,Weather Conditions
c11f1195,01-01-2023,5:20:00 AM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Rain,Under Construction,4,8,7,10,Mechanical Failure
d6fa0a1f,01-01-2023,6:37:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Frost,Under Construction,5,10,14,14,Weather Conditions
6.73E+216,01-01-2023,8:32:00 AM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Hail,Frosty,3,8,12,12,Weather Conditions
50f250af,01-01-2023,10:03:00 AM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Clear,Frosty,1,5,8,13,Drunk Driving
b2263c9c,01-01-2023,1:08:00 PM,34.2787,77.6046,"Khardung La Pass, Ladakh",Clear,Under Construction,3,4,14,14,Reckless Driving
cb930b6f,01-01-2023,1:39:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Frost,Gravel,5,1,10,12,Distracted Driving
1dfd0097,01-01-2023,5:12:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Hail,Icy,5,9,6,9,Weather Conditions
a3f9b9d8,01-01-2023,5:34:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Hail,Wet,2,3,7,10,Drunk Driving
001cfd1f,01-01-2023,5:58:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Fog,Gravel,2,1,8,13,Speeding
aa34e2f8,01-01-2023,6:28:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Clear,Under Construction,2,7,6,9,Drunk Driving
9e0124ad,01-01-2023,8:01:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Frost,Icy,5,0,6,9,Reckless Driving
9.49E+14,01-01-2023,9:14:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Fog,Icy,3,8,10,12,Speeding
6fe15a0c,01-01-2023,10:27:00 PM,10.0889,77.0595,"Munnar Road, Kerala",Rain,Dry,4,8,8,8,Weather Conditions
a3636c60,01-02-2023,2:11:00 AM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Clear,Icy,5,2,10,12,Reckless Driving
3feff2ea,01-02-2023,5:22:00 AM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Clear,Under Construction,3,7,6,10,Speeding
8ee99361,01-02-2023,7:41:00 AM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Frost,Dry,2,5,10,12,Drunk Driving
002572f5,01-02-2023,9:09:00 AM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Fog,Wet,5,8,10,12,Reckless Driving
7e1dd5d4,01-02-2023,9:13:00 AM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Hail,Frosty,2,8,6,10,Mechanical Failure
8725ea6e,01-02-2023,10:59:00 AM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Hail,Wet,3,7,7,10,Drunk Driving
90d5cf62,01-02-2023,12:07:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Storm,Frosty,3,9,6,9,Reckless Driving
d7a7c46e,01-02-2023,1:10:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Frost,Dry,3,7,6,9,Mechanical Failure
87a39b28,01-02-2023,2:46:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Clear,Under Construction,1,9,10,11,Mechanical Failure
f794bfad,01-02-2023,3:47:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Fog,Gravel,3,5,10,11,Speeding
dc96185f,01-02-2023,4:13:00 PM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Rain,Gravel,3,4,12,12,Weather Conditions
652ffa57,01-02-2023,4:36:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Hail,Wet,4,3,8,13,Mechanical Failure
1f59c87d,01-02-2023,4:50:00 PM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Rain,Icy,5,9,6,10,Speeding
a4220112,01-02-2023,7:48:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Hail,Icy,4,8,10,12,Drunk Driving
1a766c29,01-02-2023,11:03:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Rain,Icy,5,2,10,12,Speeding
208cb988,01-02-2023,11:34:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Frost,Frosty,3,2,8,13,Speeding
d21f9921,01-03-2023,2:27:00 AM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Rain,Icy,3,6,6,10,Drunk Driving
ec615da4,01-03-2023,4:48:00 AM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Hail,Icy,5,9,7,10,Distracted Driving
8c3f2987,01-03-2023,8:26:00 AM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Clear,Wet,5,3,6,10,Reckless Driving
e7205f3e,01-03-2023,10:59:00 AM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Storm,Under Construction,1,3,10,11,Reckless Driving
f3c037fa,01-03-2023,12:07:00 PM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Storm,Wet,4,9,12,12,Weather Conditions
a78d7f1b,01-03-2023,12:59:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Storm,Dry,4,7,7,10,Reckless Driving
a2888f99,01-03-2023,1:11:00 PM,34.2787,77.6046,"Khardung La Pass, Ladakh",Fog,Gravel,3,4,14,14,Weather Conditions
167e902c,01-03-2023,1:23:00 PM,34.2787,77.6046,"Khardung La Pass, Ladakh",Hail,Dry,1,0,14,14,Mechanical Failure
bf7454e9,01-03-2023,4:11:00 PM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Fog,Dry,1,9,7,7,Weather Conditions
44cc30ce,01-03-2023,7:42:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Storm,Under Construction,4,8,6,9,Mechanical Failure
9945bb54,01-03-2023,9:15:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Hail,Dry,1,0,6,9,Weather Conditions
38586a30,01-03-2023,9:38:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Rain,Wet,4,2,10,11,Drunk Driving
1df16886,01-03-2023,10:13:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Hail,Icy,5,1,6,9,Speeding
47d6fd0b,01-04-2023,4:25:00 AM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Storm,Icy,1,7,6,9,Speeding
80b65b7d,01-04-2023,5:10:00 AM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Frost,Frosty,3,6,10,12,Distracted Driving
c23fb42b,01-04-2023,7:54:00 AM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Frost,Under Construction,1,4,7,10,Speeding
8b03f891,01-04-2023,8:00:00 AM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Frost,Wet,2,10,12,12,Weather Conditions
a671f42c,01-04-2023,8:43:00 AM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Fog,Frosty,1,1,7,7,Distracted Driving
30318844,01-04-2023,1:30:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Fog,Frosty,2,0,6,9,Distracted Driving
7eb97317,01-04-2023,2:21:00 PM,34.2787,77.6046,"Khardung La Pass, Ladakh",Rain,Icy,1,3,14,14,Mechanical Failure
4dd320f7,01-04-2023,3:08:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Clear,Dry,1,7,10,11,Reckless Driving
c6e6fbfb,01-04-2023,5:27:00 PM,34.2787,77.6046,"Khardung La Pass, Ladakh",Fog,Under Construction,3,7,14,14,Drunk Driving
ba2f29f8,01-04-2023,5:30:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Rain,Dry,5,9,8,13,Weather Conditions
993bb83f,01-04-2023,5:36:00 PM,10.0889,77.0595,"Munnar Road, Kerala",Hail,Icy,2,8,8,8,Speeding
94a6449d,01-04-2023,5:38:00 PM,10.0889,77.0595,"Munnar Road, Kerala",Frost,Gravel,3,0,8,8,Mechanical Failure
364e2380,01-04-2023,8:27:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Clear,Icy,5,7,7,10,Drunk Driving
55419434,01-04-2023,9:46:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Storm,Frosty,4,7,7,10,Weather Conditions
4ad3a8fb,01-05-2023,7:29:00 AM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Fog,Frosty,4,0,8,13,Mechanical Failure
01cd3d4a,01-05-2023,7:45:00 AM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Fog,Frosty,5,1,6,9,Reckless Driving
2e08c3bb,01-05-2023,11:20:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Clear,Wet,2,9,14,14,Mechanical Failure
eb109031,01-05-2023,2:23:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Fog,Gravel,2,0,8,13,Reckless Driving
ef0b6340,01-05-2023,4:03:00 PM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Frost,Icy,5,9,12,12,Distracted Driving
